date,category_id,category_title,revenue
2025-03-01,1,Wine,143661232.0
2025-04-01,1,Wine,149762000.0
2025-05-01,1,Wine,119224704.0
2025-06-01,1,Wine,126209736.0
2025-07-01,1,Wine,130510104.0
2025-08-01,1,Wine,129929392.0
2025-09-01,1,Wine,159894624.0
2025-10-01,1,Wine,147706432.0
2025-11-01,1,Wine,132518176.0
2025-12-01,1,Wine,128347520.0
2026-01-01,1,Wine,138629616.0
2026-02-01,1,Wine,136456912.0
2026-03-01,1,Wine,157492176.0
2026-04-01,1,Wine,154123760.0
2026-05-01,1,Wine,121118168.0
2026-06-01,1,Wine,155773840.0
2026-07-01,1,Wine,138371040.0
2026-08-01,1,Wine,133511104.0
2025-03-01,2,Champagne & Sparkling Wine,180989088.0
2025-04-01,2,Champagne & Sparkling Wine,178650048.0
2025-05-01,2,Champagne & Sparkling Wine,148090208.0
2025-06-01,2,Champagne & Sparkling Wine,174789168.0
2025-07-01,2,Champagne & Sparkling Wine,177561504.0
2025-08-01,2,Champagne & Sparkling Wine,176378896.0
2025-09-01,2,Champagne & Sparkling Wine,176601696.0
2025-10-01,2,Champagne & Sparkling Wine,173519472.0
2025-11-01,2,Champagne & Sparkling Wine,178984400.0
2025-12-01,2,Champagne & Sparkling Wine,182123120.0
2026-01-01,2,Champagne & Sparkling Wine,188675200.0
2026-02-01,2,Champagne & Sparkling Wine,179456624.0
2026-03-01,2,Champagne & Sparkling Wine,185252272.0
2026-04-01,2,Champagne & Sparkling Wine,172040944.0
2026-05-01,2,Champagne & Sparkling Wine,170945168.0
2026-06-01,2,Champagne & Sparkling Wine,174398608.0
2026-07-01,2,Champagne & Sparkling Wine,178576160.0
2026-08-01,2,Champagne & Sparkling Wine,187579088.0
2025-03-01,3,Whiskey,553019840.0
2025-04-01,3,Whiskey,638424576.0
2025-05-01,3,Whiskey,583004352.0
2025-06-01,3,Whiskey,551894976.0
2025-07-01,3,Whiskey,564927936.0
2025-08-01,3,Whiskey,617077696.0
2025-09-01,3,Whiskey,574123456.0
2025-10-01,3,Whiskey,638342272.0
2025-11-01,3,Whiskey,631707008.0
2025-12-01,3,Whiskey,618373376.0
2026-01-01,3,Whiskey,611056384.0
2026-02-01,3,Whiskey,634814016.0
2026-03-01,3,Whiskey,630804416.0
2026-04-01,3,Whiskey,576141632.0
2026-05-01,3,Whiskey,577443520.0
2026-06-01,3,Whiskey,601802624.0
2026-07-01,3,Whiskey,567180992.0
2026-08-01,3,Whiskey,592287808.0
2025-03-01,4,Cognac & Brandy,98963944.0
2025-04-01,4,Cognac & Brandy,88019488.0
2025-05-01,4,Cognac & Brandy,97555728.0
2025-06-01,4,Cognac & Brandy,100449400.0
2025-07-01,4,Cognac & Brandy,95013616.0
2025-08-01,4,Cognac & Brandy,100983152.0
2025-09-01,4,Cognac & Brandy,97626808.0
2025-10-01,4,Cognac & Brandy,100434840.0
2025-11-01,4,Cognac & Brandy,97971512.0
2025-12-01,4,Cognac & Brandy,98205040.0
2026-01-01,4,Cognac & Brandy,102472008.0
2026-02-01,4,Cognac & Brandy,106195936.0
2026-03-01,4,Cognac & Brandy,103605520.0
2026-04-01,4,Cognac & Brandy,102861608.0
2026-05-01,4,Cognac & Brandy,113054600.0
2026-06-01,4,Cognac & Brandy,113167144.0
2026-07-01,4,Cognac & Brandy,101650456.0
2026-08-01,4,Cognac & Brandy,105357176.0
2025-03-01,5,Vodka,103883960.0
2025-04-01,5,Vodka,106088888.0
2025-05-01,5,Vodka,115791736.0
2025-06-01,5,Vodka,111152312.0
2025-07-01,5,Vodka,117201864.0
2025-08-01,5,Vodka,109604872.0
2025-09-01,5,Vodka,101607736.0
2025-10-01,5,Vodka,119994600.0
2025-11-01,5,Vodka,121283912.0
2025-12-01,5,Vodka,114186032.0
2026-01-01,5,Vodka,107607096.0
2026-02-01,5,Vodka,114366128.0
2026-03-01,5,Vodka,121301904.0
2026-04-01,5,Vodka,119554040.0
2026-05-01,5,Vodka,118908672.0
2026-06-01,5,Vodka,114082736.0
2026-07-01,5,Vodka,111826384.0
2026-08-01,5,Vodka,119727168.0
